Pressure : 1008.13301 hPa,  Temp : 31.07778 deg,  Hum : 66.02709 pct  
Pressure : 1008.07115 hPa,  Temp : 31.95596 deg,  Hum : 66.26656 pct  
Pressure : 1008.05493 hPa,  Temp : 32.03254 deg,  Hum : 66.44604 pct  
Pressure : 1008.01144 hPa,  Temp : 31.97127 deg,  Hum : 65.34942 pct  
Pressure : 1008.14753 hPa,  Temp : 31.95085 deg,  Hum : 65.38930 pct  
Pressure : 1008.03274 hPa,  Temp : 31.91511 deg,  Hum : 65.15943 pct  
Pressure : 1008.08921 hPa,  Temp : 31.91511 deg,  Hum : 65.37578 pct  
Pressure : 1008.13086 hPa,  Temp : 31.94064 deg,  Hum : 64.86249 pct  
Pressure : 1008.04893 hPa,  Temp : 31.83852 deg,  Hum : 64.79889 pct  
Pressure : 1008.06509 hPa,  Temp : 31.76194 deg,  Hum : 65.42636 pct  
Pressure : 1008.07019 hPa,  Temp : 31.78236 deg,  Hum : 65.10007 pct  
Pressure : 1008.06186 hPa,  Temp : 31.77726 deg,  Hum : 64.70813 pct  
Pressure : 1008.09009 hPa,  Temp : 31.77726 deg,  Hum : 64.86013 pct  
Pressure : 1008.03686 hPa,  Temp : 31.76194 deg,  Hum : 65.11657 pct  
Pressure : 1008.09332 hPa,  Temp : 31.76194 deg,  Hum : 65.44974 pct  
Pressure : 1008.12611 hPa,  Temp : 31.69556 deg,  Hum : 64.99630 pct  
Pressure : 1008.05488 hPa,  Temp : 31.72109 deg,  Hum : 65.12618 pct  
Pressure : 1008.09654 hPa,  Temp : 31.74662 deg,  Hum : 65.49570 pct  
Pressure : 1008.09654 hPa,  Temp : 31.74662 deg,  Hum : 65.70026 pct  
Pressure : 1008.09654 hPa,  Temp : 31.74662 deg,  Hum : 65.39635 pct  
Pressure : 1008.07988 hPa,  Temp : 31.73641 deg,  Hum : 64.95745 pct  
Pressure : 1008.11966 hPa,  Temp : 31.72620 deg,  Hum : 64.68220 pct  
Pressure : 1008.18900 hPa,  Temp : 31.66493 deg,  Hum : 64.88955 pct  
Pressure : 1008.17175 hPa,  Temp : 31.56792 deg,  Hum : 64.81454 pct  
Pressure : 1008.05244 hPa,  Temp : 31.59856 deg,  Hum : 65.02061 pct  
Pressure : 1008.04922 hPa,  Temp : 31.61387 deg,  Hum : 65.06813 pct  
Pressure : 1008.05111 hPa,  Temp : 31.64961 deg,  Hum : 65.18682 pct  
Pressure : 1008.06456 hPa,  Temp : 31.67514 deg,  Hum : 65.35176 pct  
Pressure : 1008.02800 hPa,  Temp : 31.67004 deg,  Hum : 65.15865 pct  
Pressure : 1008.07800 hPa,  Temp : 31.70067 deg,  Hum : 65.35307 pct  
Pressure : 1008.08956 hPa,  Temp : 31.69046 deg,  Hum : 65.03695 pct  
Pressure : 1008.09733 hPa,  Temp : 31.60877 deg,  Hum : 64.93347 pct  
Pressure : 1008.11078 hPa,  Temp : 31.63430 deg,  Hum : 65.14514 pct  
Pressure : 1008.16078 hPa,  Temp : 31.66493 deg,  Hum : 65.09995 pct  
Pressure : 1008.14089 hPa,  Temp : 31.67004 deg,  Hum : 65.53849 pct  
Pressure : 1008.08445 hPa,  Temp : 31.67004 deg,  Hum : 65.33397 pct  
Pressure : 1008.13256 hPa,  Temp : 31.66493 deg,  Hum : 65.35123 pct  
Pressure : 1008.11267 hPa,  Temp : 31.67004 deg,  Hum : 65.28137 pct  
Pressure : 1008.12555 hPa,  Temp : 31.60877 deg,  Hum : 65.06787 pct  
Pressure : 1008.03065 hPa,  Temp : 31.56792 deg,  Hum : 64.75026 pct  
Pressure : 1008.11019 hPa,  Temp : 31.54750 deg,  Hum : 65.04139 pct  
Pressure : 1008.12174 hPa,  Temp : 31.53729 deg,  Hum : 65.13435 pct  
Pressure : 1008.16150 hPa,  Temp : 31.52708 deg,  Hum : 64.84170 pct  
Pressure : 1008.12174 hPa,  Temp : 31.53729 deg,  Hum : 64.81300 pct  
Pressure : 1008.10185 hPa,  Temp : 31.54239 deg,  Hum : 65.07618 pct  
Pressure : 1008.06530 hPa,  Temp : 31.53729 deg,  Hum : 65.03503 pct  
Pressure : 1008.08709 hPa,  Temp : 31.56792 deg,  Hum : 66.57294 pct  
Pressure : 1008.08388 hPa,  Temp : 31.58324 deg,  Hum : 66.88915 pct  
Pressure : 1008.02232 hPa,  Temp : 31.56282 deg,  Hum : 66.17550 pct  
Pressure : 1008.09352 hPa,  Temp : 31.53729 deg,  Hum : 65.87042 pct  
Pressure : 1008.06339 hPa,  Temp : 31.50155 deg,  Hum : 65.60569 pct  
Pressure : 1008.04802 hPa,  Temp : 31.44028 deg,  Hum : 65.54994 pct  
Pressure : 1008.10957 hPa,  Temp : 31.46070 deg,  Hum : 66.04159 pct  
Pressure : 1008.14612 hPa,  Temp : 31.46581 deg,  Hum : 65.91338 pct  
Pressure : 1008.03899 hPa,  Temp : 31.57303 deg,  Hum : 66.67835 pct  
Pressure : 1008.07611 hPa,  Temp : 31.66493 deg,  Hum : 66.18094 pct  
Pressure : 1008.17289 hPa,  Temp : 31.74152 deg,  Hum : 65.81687 pct  
Pressure : 1008.01884 hPa,  Temp : 31.80278 deg,  Hum : 65.62720 pct  
Pressure : 1008.09059 hPa,  Temp : 31.86405 deg,  Hum : 65.58361 pct  
Pressure : 1008.14195 hPa,  Temp : 31.84363 deg,  Hum : 64.99210 pct  
Pressure : 1008.07254 hPa,  Temp : 31.90490 deg,  Hum : 65.73773 pct  
Pressure : 1008.03598 hPa,  Temp : 31.89979 deg,  Hum : 65.33406 pct  
Pressure : 1008.03598 hPa,  Temp : 31.89979 deg,  Hum : 64.64992 pct  
Pressure : 1008.11744 hPa,  Temp : 31.91511 deg,  Hum : 64.41090 pct  
Pressure : 1008.07254 hPa,  Temp : 31.90490 deg,  Hum : 64.74374 pct  
Pressure : 1008.11235 hPa,  Temp : 31.89469 deg,  Hum : 64.83679 pct  
Pressure : 1008.12529 hPa,  Temp : 31.83342 deg,  Hum : 64.89219 pct  
Pressure : 1008.13310 hPa,  Temp : 31.75173 deg,  Hum : 64.39116 pct  
Pressure : 1008.06832 hPa,  Temp : 31.74662 deg,  Hum : 64.85275 pct  
Pressure : 1008.04842 hPa,  Temp : 31.75173 deg,  Hum : 65.11605 pct  
Pressure : 1008.05353 hPa,  Temp : 31.77215 deg,  Hum : 65.48533 pct  
Pressure : 1008.07852 hPa,  Temp : 31.78747 deg,  Hum : 66.02383 pct  
Pressure : 1008.08363 hPa,  Temp : 31.80789 deg,  Hum : 66.49242 pct  
Pressure : 1008.02903 hPa,  Temp : 31.84363 deg,  Hum : 66.62876 pct  
Pressure : 1008.07392 hPa,  Temp : 31.85384 deg,  Hum : 66.44814 pct  
Pressure : 1008.09059 hPa,  Temp : 31.86405 deg,  Hum : 65.78821 pct  
Pressure : 1007.98923 hPa,  Temp : 31.85384 deg,  Hum : 65.88120 pct  
Pressure : 1008.14891 hPa,  Temp : 31.89979 deg,  Hum : 65.96545 pct  
Pressure : 1007.99197 hPa,  Temp : 31.75173 deg,  Hum : 64.82377 pct  
Pressure : 1008.07342 hPa,  Temp : 31.76704 deg,  Hum : 64.66670 pct  
Pressure : 1008.09600 hPa,  Temp : 31.65983 deg,  Hum : 64.38663 pct  
Pressure : 1008.01456 hPa,  Temp : 31.64451 deg,  Hum : 64.62552 pct  
Pressure : 1008.14089 hPa,  Temp : 31.67004 deg,  Hum : 65.24631 pct  
Pressure : 1008.05944 hPa,  Temp : 31.65472 deg,  Hum : 65.36824 pct  
Pressure : 1008.08899 hPa,  Temp : 31.60366 deg,  Hum : 64.90399 pct  
Pressure : 1008.13970 hPa,  Temp : 31.49644 deg,  Hum : 65.55870 pct  
Pressure : 1008.04672 hPa,  Temp : 31.49134 deg,  Hum : 65.44745 pct  
Pressure : 1008.11149 hPa,  Temp : 31.49644 deg,  Hum : 65.59959 pct  
Pressure : 1008.11470 hPa,  Temp : 31.48113 deg,  Hum : 65.46445 pct  
Pressure : 1008.11149 hPa,  Temp : 31.49644 deg,  Hum : 65.97924 pct  
Pressure : 1008.07302 hPa,  Temp : 31.45560 deg,  Hum : 65.79020 pct  
Pressure : 1007.96979 hPa,  Temp : 31.40965 deg,  Hum : 65.59507 pct  
Pressure : 1008.02109 hPa,  Temp : 31.38922 deg,  Hum : 65.43049 pct  
Pressure : 1007.90246 hPa,  Temp : 31.28201 deg,  Hum : 65.20307 pct  
Pressure : 1007.87038 hPa,  Temp : 31.21053 deg,  Hum : 65.12934 pct  
Pressure : 1008.00551 hPa,  Temp : 31.10331 deg,  Hum : 65.49156 pct  
Pressure : 1007.95352 hPa,  Temp : 31.03693 deg,  Hum : 65.97824 pct  
Pressure : 1007.94836 hPa,  Temp : 31.01651 deg,  Hum : 66.38553 pct  
Pressure : 1008.01944 hPa,  Temp : 30.99098 deg,  Hum : 66.23832 pct  
Pressure : 1008.04128 hPa,  Temp : 31.02162 deg,  Hum : 66.37998 pct  
Pressure : 1008.07979 hPa,  Temp : 31.06246 deg,  Hum : 66.51636 pct  
Pressure : 1008.11951 hPa,  Temp : 31.05225 deg,  Hum : 66.62082 pct  
Pressure : 1008.04446 hPa,  Temp : 31.00630 deg,  Hum : 66.29748 pct  
Pressure : 1008.01944 hPa,  Temp : 30.99098 deg,  Hum : 66.52998 pct  
Pressure : 1008.01111 hPa,  Temp : 30.98588 deg,  Hum : 67.73107 pct  
Pressure : 1008.07901 hPa,  Temp : 30.97567 deg,  Hum : 66.84994 pct  
Pressure : 1007.98927 hPa,  Temp : 30.95524 deg,  Hum : 66.70884 pct  
Pressure : 1008.06233 hPa,  Temp : 30.96546 deg,  Hum : 66.94852 pct  
Pressure : 1008.13222 hPa,  Temp : 30.99098 deg,  Hum : 67.01992 pct  
Pressure : 1008.07583 hPa,  Temp : 30.99098 deg,  Hum : 66.69914 pct  
Pressure : 1008.02778 hPa,  Temp : 30.99609 deg,  Hum : 66.89189 pct  
Pressure : 1008.00078 hPa,  Temp : 30.94503 deg,  Hum : 66.78410 pct  
Pressure : 1008.02380 hPa,  Temp : 30.92461 deg,  Hum : 66.64302 pct  
Pressure : 1008.06867 hPa,  Temp : 30.93482 deg,  Hum : 66.88268 pct  
Pressure : 1008.04882 hPa,  Temp : 30.93993 deg,  Hum : 66.77216 pct  
Pressure : 1007.99959 hPa,  Temp : 30.99609 deg,  Hum : 66.88023 pct  
Pressure : 1008.06550 hPa,  Temp : 30.95014 deg,  Hum : 66.98850 pct  
Pressure : 1008.10919 hPa,  Temp : 31.01141 deg,  Hum : 67.10854 pct  
Pressure : 1008.12785 hPa,  Temp : 31.05736 deg,  Hum : 67.17525 pct  
Pressure : 1008.04720 hPa,  Temp : 31.12884 deg,  Hum : 67.09756 pct  
Pressure : 1008.11905 hPa,  Temp : 31.19010 deg,  Hum : 66.56997 pct  
Pressure : 1008.14283 hPa,  Temp : 31.25648 deg,  Hum : 66.22338 pct  
Pressure : 1008.16020 hPa,  Temp : 31.35348 deg,  Hum : 65.70309 pct  
Pressure : 1008.13265 hPa,  Temp : 31.44028 deg,  Hum : 65.30463 pct  
Pressure : 1008.16792 hPa,  Temp : 31.49644 deg,  Hum : 65.57038 pct  
Pressure : 1008.11149 hPa,  Temp : 31.49644 deg,  Hum : 65.10306 pct  
Pressure : 1008.11340 hPa,  Temp : 31.53218 deg,  Hum : 65.00555 pct  
Pressure : 1008.19805 hPa,  Temp : 31.53218 deg,  Hum : 64.60239 pct  
Pressure : 1008.12303 hPa,  Temp : 31.48623 deg,  Hum : 64.85133 pct  
Pressure : 1008.16984 hPa,  Temp : 31.53218 deg,  Hum : 65.08151 pct  
Pressure : 1008.14162 hPa,  Temp : 31.53218 deg,  Hum : 65.13409 pct  
Pressure : 1008.05635 hPa,  Temp : 31.44539 deg,  Hum : 65.33410 pct  
Pressure : 1008.07364 hPa,  Temp : 31.31775 deg,  Hum : 65.25161 pct  
Pressure : 1008.09476 hPa,  Temp : 31.26158 deg,  Hum : 65.56400 pct  
Pressure : 1008.11268 hPa,  Temp : 31.22074 deg,  Hum : 65.89461 pct  
Pressure : 1008.12028 hPa,  Temp : 31.13905 deg,  Hum : 65.66268 pct  
Pressure : 1008.03492 hPa,  Temp : 31.05225 deg,  Hum : 65.75149 pct  
Pressure : 1008.03930 hPa,  Temp : 30.98588 deg,  Hum : 66.30805 pct  
Pressure : 1007.96107 hPa,  Temp : 30.95524 deg,  Hum : 66.32973 pct  
Pressure : 1008.12505 hPa,  Temp : 30.93482 deg,  Hum : 67.72816 pct  
Pressure : 1008.05280 hPa,  Temp : 31.01141 deg,  Hum : 67.02105 pct  
Pressure : 1008.14969 hPa,  Temp : 31.08799 deg,  Hum : 66.71027 pct  
Pressure : 1008.08570 hPa,  Temp : 31.16968 deg,  Hum : 66.79059 pct  
Pressure : 1008.14603 hPa,  Temp : 31.24116 deg,  Hum : 66.95791 pct  
Pressure : 1008.06016 hPa,  Temp : 31.29222 deg,  Hum : 66.18443 pct  
Pressure : 1008.09671 hPa,  Temp : 31.29732 deg,  Hum : 66.00373 pct  
Pressure : 1008.10504 hPa,  Temp : 31.30243 deg,  Hum : 65.70626 pct  
Pressure : 1008.10824 hPa,  Temp : 31.28711 deg,  Hum : 65.43105 pct  
Pressure : 1008.11018 hPa,  Temp : 31.32285 deg,  Hum : 65.05917 pct  
Pressure : 1008.06210 hPa,  Temp : 31.32796 deg,  Hum : 65.60249 pct  
Pressure : 1008.17174 hPa,  Temp : 31.34327 deg,  Hum : 65.67336 pct  
Pressure : 1008.15700 hPa,  Temp : 31.36880 deg,  Hum : 65.59878 pct  
Pressure : 1008.07558 hPa,  Temp : 31.35348 deg,  Hum : 65.80819 pct  
Pressure : 1008.06917 hPa,  Temp : 31.38412 deg,  Hum : 65.64046 pct  
Pressure : 1008.04802 hPa,  Temp : 31.44028 deg,  Hum : 65.64339 pct  
Pressure : 1008.11470 hPa,  Temp : 31.48113 deg,  Hum : 65.86162 pct  
Pressure : 1008.08518 hPa,  Temp : 31.53218 deg,  Hum : 65.86431 pct  
Pressure : 1008.12876 hPa,  Temp : 31.59345 deg,  Hum : 65.86169 pct  
Pressure : 1008.03956 hPa,  Temp : 31.65983 deg,  Hum : 65.27500 pct  
Pressure : 1008.08633 hPa,  Temp : 31.70578 deg,  Hum : 65.17216 pct  
Pressure : 1008.09009 hPa,  Temp : 31.77726 deg,  Hum : 64.97705 pct  
Pressure : 1008.10352 hPa,  Temp : 31.80278 deg,  Hum : 64.66263 pct  
Pressure : 1008.04467 hPa,  Temp : 31.68025 deg,  Hum : 64.46363 pct  
Pressure : 1008.03577 hPa,  Temp : 31.58835 deg,  Hum : 64.38895 pct  
Pressure : 1008.04672 hPa,  Temp : 31.49134 deg,  Hum : 64.88080 pct  
Pressure : 1008.08198 hPa,  Temp : 31.32285 deg,  Hum : 64.81389 pct  
Pressure : 1008.05946 hPa,  Temp : 31.20542 deg,  Hum : 65.26919 pct  
Pressure : 1008.08962 hPa,  Temp : 31.24116 deg,  Hum : 65.81396 pct  
Pressure : 1008.10572 hPa,  Temp : 31.38922 deg,  Hum : 65.83343 pct  
Pressure : 1008.04672 hPa,  Temp : 31.49134 deg,  Hum : 65.96145 pct  
Pressure : 1008.04732 hPa,  Temp : 31.57813 deg,  Hum : 65.21239 pct  
Pressure : 1008.06267 hPa,  Temp : 31.63940 deg,  Hum : 65.13955 pct  
Pressure : 1008.09654 hPa,  Temp : 31.74662 deg,  Hum : 64.95212 pct  
Pressure : 1008.09706 hPa,  Temp : 31.83342 deg,  Hum : 64.76356 pct  
Pressure : 1008.13086 hPa,  Temp : 31.94064 deg,  Hum : 63.98516 pct  
Pressure : 1008.08273 hPa,  Temp : 31.94574 deg,  Hum : 64.23693 pct  
Pressure : 1008.09615 hPa,  Temp : 31.97127 deg,  Hum : 64.02174 pct  
Pressure : 1008.18594 hPa,  Temp : 31.99169 deg,  Hum : 63.47861 pct  
Pressure : 1008.03685 hPa,  Temp : 32.07339 deg,  Hum : 63.49416 pct  
Pressure : 1008.03541 hPa,  Temp : 32.12444 deg,  Hum : 63.31512 pct  
Pressure : 1008.00899 hPa,  Temp : 32.16018 deg,  Hum : 63.63287 pct  
Pressure : 1008.05244 hPa,  Temp : 32.22145 deg,  Hum : 63.55967 pct  
Pressure : 1008.06437 hPa,  Temp : 32.29804 deg,  Hum : 63.32323 pct  
Pressure : 1008.09262 hPa,  Temp : 32.29804 deg,  Hum : 63.34079 pct  
Pressure : 1008.08787 hPa,  Temp : 32.36441 deg,  Hum : 62.98078 pct  
Pressure : 1008.08311 hPa,  Temp : 32.43079 deg,  Hum : 63.10684 pct  
Pressure : 1008.00667 hPa,  Temp : 32.43589 deg,  Hum : 63.31794 pct  
Pressure : 1008.08311 hPa,  Temp : 32.43079 deg,  Hum : 63.19470 pct  
Pressure : 1008.05335 hPa,  Temp : 32.48184 deg,  Hum : 63.33179 pct  
Pressure : 1008.06823 hPa,  Temp : 32.45631 deg,  Hum : 63.16659 pct  
Pressure : 1008.02155 hPa,  Temp : 32.41036 deg,  Hum : 63.23475 pct  
Pressure : 1008.08282 hPa,  Temp : 32.34399 deg,  Hum : 63.21410 pct  
Pressure : 1008.03612 hPa,  Temp : 32.29804 deg,  Hum : 63.27638 pct  
Pressure : 1008.15710 hPa,  Temp : 32.21635 deg,  Hum : 62.97399 pct  
Pressure : 1008.14289 hPa,  Temp : 32.01722 deg,  Hum : 63.43885 pct  
Pressure : 1008.12947 hPa,  Temp : 31.99169 deg,  Hum : 63.64244 pct  
Pressure : 1008.08735 hPa,  Temp : 31.87937 deg,  Hum : 63.43821 pct  
Pressure : 1008.07611 hPa,  Temp : 31.66493 deg,  Hum : 64.06537 pct  
Pressure : 1008.11661 hPa,  Temp : 31.51687 deg,  Hum : 63.85362 pct  
Pressure : 1008.11340 hPa,  Temp : 31.53218 deg,  Hum : 64.24009 pct  
Pressure : 1008.10376 hPa,  Temp : 31.57813 deg,  Hum : 64.47611 pct  
Pressure : 1008.17433 hPa,  Temp : 31.46581 deg,  Hum : 64.59908 pct  
Pressure : 1008.03455 hPa,  Temp : 31.41475 deg,  Hum : 64.71337 pct  
Pressure : 1008.20062 hPa,  Temp : 31.43007 deg,  Hum : 64.79592 pct  
Pressure : 1008.13458 hPa,  Temp : 31.47602 deg,  Hum : 64.66386 pct  
Pressure : 1008.06530 hPa,  Temp : 31.31264 deg,  Hum : 64.71993 pct  
Pressure : 1008.10238 hPa,  Temp : 31.17989 deg,  Hum : 65.23869 pct  
Pressure : 1008.07265 hPa,  Temp : 31.00630 deg,  Hum : 65.81909 pct  
Pressure : 1008.02063 hPa,  Temp : 30.93993 deg,  Hum : 65.80975 pct  
Pressure : 1008.01347 hPa,  Temp : 30.88377 deg,  Hum : 66.02843 pct  
Pressure : 1008.11587 hPa,  Temp : 30.84292 deg,  Hum : 66.20704 pct  
Pressure : 1008.13168 hPa,  Temp : 30.76634 deg,  Hum : 66.67518 pct  
Pressure : 1008.00045 hPa,  Temp : 30.58253 deg,  Hum : 66.61848 pct  
Pressure : 1008.03178 hPa,  Temp : 30.56722 deg,  Hum : 67.16537 pct  
Pressure : 1008.04531 hPa,  Temp : 30.59274 deg,  Hum : 67.09105 pct  
Pressure : 1008.06200 hPa,  Temp : 30.60296 deg,  Hum : 66.93429 pct  
Pressure : 1008.09127 hPa,  Temp : 30.55190 deg,  Hum : 67.31017 pct  
Pressure : 1008.04651 hPa,  Temp : 30.40384 deg,  Hum : 67.36590 pct  
Pressure : 1008.07361 hPa,  Temp : 30.45489 deg,  Hum : 68.07349 pct  
Pressure : 1007.96093 hPa,  Temp : 30.45489 deg,  Hum : 67.87549 pct  
Pressure : 1008.07361 hPa,  Temp : 30.45489 deg,  Hum : 67.84054 pct  
Pressure : 1008.06939 hPa,  Temp : 30.52127 deg,  Hum : 68.13558 pct  
Pressure : 1008.11001 hPa,  Temp : 30.59785 deg,  Hum : 67.83711 pct  
Pressure : 1008.09537 hPa,  Temp : 30.62338 deg,  Hum : 67.40159 pct  
Pressure : 1008.11094 hPa,  Temp : 30.68465 deg,  Hum : 67.64397 pct  
